행정동,Y,반려동물등록수,펫파크수,인구수_원본,유동인구_원본,상권활성도_원본,교통편의도_원본,공시지가_원본,놀이터개수_원본,인구수_Z값,유동인구_Z값,상권활성도_Z값,교통편의도_Z값,공시지가_Z값,놀이터개수_Z값,인구수_기여값,유동인구_기여값,상권활성도_기여값,교통편의도_기여값,공시지가_기여값,놀이터개수_기여값,Z점수,순위
태평4동,1112.9,1112.9,0.0,10825.0,16384.0,2.0,6.0,2738852.0,0.0,-0.8056485507624801,-0.8389151033689994,-0.5696369687947423,-1.0548916049959667,-0.13694488387064638,-0.9879741755243489,-551.9082990614646,193.32404035947891,-48.89973262712894,-143.8337770582869,-6.481814887014971,186.34762522576395,-371.45195804865244,36
야탑1동,564.95,1129.9,1.0,16488.0,252688.0,6.0,30.0,2467610.0,0.0,-0.1792068077811448,1.7338597878936968,-0.5639303271518377,0.20342840096343687,-0.38146858493551106,-0.9879741755243489,-122.76534770542358,-399.55983420291483,-48.40985351846205,27.737328776647765,-18.055502935758266,186.34762522576395,-374.70558436014693,37
야탑2동,1065.6,1065.6,0.0,15549.0,29720.0,11.0,17.0,2467610.0,44.0,-0.2830791010284473,-0.6937185516818535,-0.5567970250982068,-0.47816160226457344,-0.38146858493551106,1.2690800157046929,-193.92290223894338,159.86417784693538,-47.79750463262843,-65.19702021727518,-18.055502935758266,-239.36865254856693,-404.47740472623684,38
수내2동,802.5,802.5,0.0,10336.0,25782.0,9.0,14.0,4051133.0,11.0,-0.8597417897379124,-0.7365937781773529,-0.5596503459196591,-0.6354516030094989,1.0460717837438887,-0.4237106277170884,-588.9647891220516,169.74457216115226,-48.04244418696187,-86.64340844664201,49.51220862812244,79.91855578218122,-424.4753051841996,39
정자동,644.3,1288.6,1.0,13706.0,76366.0,1255.0,1.0,4571806.0,33.0,-0.48695198330190675,-0.1858572476927559,1.2179685258451398,-1.3170416062375092,1.51545664672435,0.7048164678974325,-333.5857062914215,42.82992868975896,104.5548981627743,-179.57775744056497,71.72892608855747,-132.9395831049842,-426.98929389587994,40
상대원3동,1275.3,1275.3,0.0,11012.0,8300.0,8.0,4.0,2752711.0,10.0,-0.7849625882095029,-0.926930169643661,-0.5610770063303854,-1.1597516054925836,-0.12445104452033207,-0.4750073138813848,-537.7374122693792,213.6066984692121,-48.16491396412861,-158.13136921119812,-5.890461989353351,89.59392573159784,-446.7235332332493,41
이매2동,875.2,875.2,0.0,12772.0,31290.0,3.0,10.0,1484978.0,23.0,-0.5902711759461884,-0.6766250764157453,-0.5682103083840161,-0.8451716040027328,-1.267307848120306,0.19184960625446848,-404.36436010857534,155.92506685828113,-48.77726284996221,-115.23859275246446,-59.9836565207957,-36.18588361081811,-508.6246889843347,42
은행1동,940.9,940.9,0.0,9250.0,2942.0,1.0,1.0,2147415.0,0.0,-0.9798752407140258,-0.9852657368257042,-0.5710636292054685,-1.3170416062375092,-0.6701232418930042,-0.9879741755243489,-671.2620247167295,227.04985558845385,-49.02220240429566,-179.57775744056497,-31.717977938771664,186.34762522576395,-518.1824816861439,43
신흥3동,782.9,782.9,0.0,10619.0,31173.0,19.0,12.0,3694427.0,22.0,-0.8284362956069362,-0.6778989213878056,-0.5453837418123976,-0.7403116035061158,0.7245025897693432,0.14055292009017206,-567.5190085757405,156.21861844151204,-46.81774641529466,-100.94100059955323,34.29183726559367,-26.510513661401497,-551.2778135448842,44
양지동,702.0,702.0,0.0,8842.0,17895.0,3.0,8.0,1946256.0,5.0,-1.0250082499205215,-0.8224639943708533,-0.5682103083840161,-0.9500316044993498,-0.8514673670008677,-0.7314907447028668,-702.1803231721885,189.53295965638554,-48.77726284996221,-129.53618490537568,-40.30127814374417,137.97077547868088,-593.2913139362041,45
산성동,720.0,720.0,0.0,4375.0,20320.0,5.0,13.0,4424831.0,3.0,-1.5191483286592862,-0.7960616520012275,-0.5653569875625638,-0.6878816032578073,1.3829592054578481,-0.8340841170314596,-1040.6902231735014,183.44866402104375,-48.53232329562877,-93.79220452309762,65.45761559473996,157.3215153775141,-776.7869559989301,46
고등동,546.0,546.0,0.0,11668.0,162180.0,5.0,24.0,881336.0,22.0,-0.7123957890931767,0.7484481577122182,-0.5653569875625638,-0.11115160052641404,-1.811488970358739,0.14055292009017206,-488.0256382821705,-172.47635817672344,-48.53232329562877,-15.155447682085903,-85.74059755912863,-26.510513661401497,-836.4408786571387,47
상대원2동,335.4,335.4,0.0,2896.0,15561.0,0.0,21.0,2752711.0,1.0,-1.682755487032833,-0.8478755684288765,-0.5724902896161946,-0.2684416012713395,-0.12445104452033207,-0.9366774893600525,-1152.7690550745406,195.3889373936588,-49.14467218146238,-36.60183591145273,-5.890461989353351,176.67225527634733,-872.344832486803,48
신촌동,395.0,395.0,0.0,4456.0,21795.0,0.0,8.0,1140412.0,0.0,-1.5101880988903496,-0.7800024953021768,-0.5724902896161946,-0.9500316044993498,-1.5779328751482593,-0.9879741755243489,-1034.5520315683736,179.74790688202143,-49.14467218146238,-129.53618490537568,-74.68602339688155,186.34762522576395,-921.8233799443078,49
시흥동,448.0,448.0,0.0,3599.0,206245.0,818.0,61.0,1021253.0,0.0,-1.6049895422481113,1.228208659368943,0.5945179263578066,1.8287584086609996,-1.6853542910616808,-0.9879741755243489,-1099.4956143534923,-283.0349095875835,51.03560554091658,249.35000714677167,-79.7704465105594,186.34762522576395,-975.567732538183,50
