구,행정동,시설번호,시설유형,실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,데이터기준일자,위도,경도,설치연도,노후도,펫존거리,공공시설여부,면적,클러스터
분당구,운중동,25134,주택단지,실외,산운마을2단지 월든힐스아파트 208동 옆 놀이터,경기도 성남시 분당구 산운로 37,130.0,2010-10-11,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2022-11-04,Y,Y,N,2025-07-05,37.39295702,127.0664387,2010,15,3.5487156003959934,0,130.0,2
분당구,운중동,28042,주택단지,실외,산운마을13단지 데시앙 1307동,경기도 성남시 분당구 판교원로82번길 30,328.0,2010-05-25,민간,흔들놀이기구(1)+조합놀이대(2)+기타(1)+충격흡수용표면재(포설도포바닥재)(1)+충격흡수용표면재(기타바닥재)(1),2024-06-13,Y,Y,N,2025-07-05,37.38537056,127.0734975,2010,15,2.872051704121945,0,328.0,2
분당구,운중동,28043,주택단지,실외,산운마을13단지 데시앙 1302동,경기도 성남시 분당구 판교원로82번길 30,328.0,2010-05-25,민간,그네(1)+조합놀이대(2)+충격흡수용표면재(포설도포바닥재)(1)+충격흡수용표면재(기타바닥재)(1),2024-06-13,Y,Y,N,2025-07-05,37.38537056,127.0734975,2010,15,2.872051704121945,0,328.0,2
분당구,운중동,28044,주택단지,실외,산운마을13단지 데시앙 1310동,경기도 성남시 분당구 판교원로82번길 30,280.0,2010-05-25,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-06-13,Y,Y,N,2025-07-05,37.38537056,127.0734975,2010,15,2.872051704121945,0,280.0,2
분당구,운중동,28284,주택단지,실외,산운마을13단지 데시앙 1312동,경기도 성남시 분당구 판교원로82번길 30,328.0,2010-05-25,민간,흔들놀이기구(2)+조합놀이대(1)+기타(1)+충격흡수용표면재(모래)(1)+충격흡수용표면재(포설도포바닥재)(1),2024-06-13,Y,Y,N,2025-07-05,37.38537056,127.0734975,2010,15,2.872051704121945,0,328.0,2
분당구,운중동,28547,주택단지,실외,산운마을7단지아파트 702동 앞 놀이터1,경기도 성남시 분당구 산운로 135,292.0,2010-05-28,민간,그네(1)+흔들놀이기구(3)+건너는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-11-03,Y,Y,N,2025-07-05,37.39618693,127.0794209,2010,15,2.5496052358082086,0,292.0,2
분당구,운중동,28548,주택단지,실외,산운마을7단지아파트 711동 앞 놀이터,경기도 성남시 분당구 산운로 135,328.0,2010-06-08,민간,흔들놀이기구(3)+오르는기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-11-03,Y,Y,N,2025-07-05,37.39618693,127.0794209,2010,15,2.5496052358082086,0,328.0,2
분당구,운중동,29046,주택단지,실외,산운마을5단지 한성필하우스 101동 앞 놀이터,경기도 성남시 분당구 산운로 97,328.0,2009-02-26,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-01-19,Y,N,N,2025-07-05,37.39343644,127.0717113,2009,16,3.10353580522646,0,328.0,2
중원구,도촌동,29582,주택단지,실외,도촌휴먼시아 섬마을5단지 504동 놀이터,경기도 성남시 중원구 도촌북로 78,276.8,2009-02-16,민간,흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-02-23,Y,Y,N,2025-07-05,37.41539596,127.1586254,2009,16,3.1992335202581486,0,276.8,2
중원구,도촌동,29583,주택단지,실외,도촌휴먼시아 섬마을5단지 506동 놀이터,경기도 성남시 중원구 도촌북로 78,328.0,2009-02-16,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-01-27,Y,Y,N,2025-07-05,37.41539596,127.1586254,2009,16,3.1992335202581486,0,328.0,2
