구,행정동,시설번호,시설유형,실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,데이터기준일자,위도,경도,설치연도,노후도,펫존거리,공공시설여부,면적,클러스터
중원구,성남동,559864,주택단지,실외,성남여수 LH1단지 107동앞(둥지놀이터),경기도 성남시 중원구 둔촌대로63번길 11,120.66,2017-04-03,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-05-16,Y,Y,N,2025-07-05,37.43235269,127.1251947,2017,8,0.7091060892163621,0,120.66,2
중원구,성남동,559865,주택단지,실외,성남여수 LH1단지 보육시설앞(숲속놀이터),경기도 성남시 중원구 둔촌대로63번길 11,270.2,2017-04-03,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-05-16,Y,Y,N,2025-07-05,37.43235269,127.1251947,2017,8,0.7091060892163621,0,270.2,2
중원구,성남동,559866,주택단지,실외,성남여수 LH1단지 관리사무소옆(바닷속놀이터),경기도 성남시 중원구 둔촌대로63번길 11,335.0,2017-04-03,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-05-16,Y,Y,N,2025-07-05,37.43235269,127.1251947,2017,8,0.7091060892163621,0,335.0,2
수정구,위례동,560120,주택단지,실외,위례보미리즌빌 101동앞 놀이터,경기도 성남시 수정구 위례광장로 82,254.2,2017-02-26,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-01,Y,Y,N,2025-07-05,37.47180904,127.1411775,2017,8,4.008937690146647,0,254.2,2
수정구,위례동,560401,주택단지,실외,LH31단지 3109동앞 놀이터(1),경기도 성남시 수정구 위례순환로 17,114.78,2017-06-20,민간,그네(1)+흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-01,Y,Y,N,2025-07-05,37.47220083,127.1333193,2017,8,4.093664950428364,0,114.78,2
수정구,위례동,560402,주택단지,실외,LH31단지 3109동뒤 놀이터(2),경기도 성남시 수정구 위례순환로 17,297.5,2017-06-20,민간,회전놀이기구(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-10-13,Y,Y,N,2025-07-05,37.47220083,127.1333193,2017,8,4.093664950428364,0,297.5,2
수정구,위례동,560403,주택단지,실외,LH31단지 3107동앞 놀이터(3),경기도 성남시 수정구 위례순환로 17,47.21,2017-06-20,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-10-13,Y,N,N,2025-07-05,37.47220083,127.1333193,2017,8,4.093664950428364,0,47.21,2
수정구,위례동,560404,주택단지,실외,LH31단지 3101동뒤 놀이터(4),경기도 성남시 수정구 위례순환로 17,8.3,2017-06-20,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+기타(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-01,Y,N,N,2025-07-05,37.47220083,127.1333193,2017,8,4.093664950428364,0,8.3,2
수정구,위례동,560405,주택단지,실외,LH31단지 3111동측면 놀이터(5),경기도 성남시 수정구 위례순환로 17,524.95,2017-06-20,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-01,Y,N,N,2025-07-05,37.47220083,127.1333193,2017,8,4.093664950428364,0,524.95,2
수정구,위례동,560406,주택단지,실외,LH31단지 3110동뒤 유아놀이터,경기도 성남시 수정구 위례순환로 17,309.86,2017-06-20,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-01,Y,N,N,2025-07-05,37.47220083,127.1333193,2017,8,4.093664950428364,0,309.86,2
수정구,위례동,560550,주택단지,실외,위례호반베르디움 5314동 놀이터,경기도 성남시 수정구 위례중앙로 216,241.35,2017-06-10,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+기타(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-23,Y,N,N,2025-07-05,37.4724477,127.1537921,2017,8,3.3919303763689204,0,241.35,2
수정구,위례동,560611,도시공원,실외,위례신도시 근린공원 10호,경기도 성남시 수정구 창곡동 산58,115.04,2017-06-30,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-07-28,Y,N,N,2025-07-05,37.4677724,127.1470056,2017,8,3.329069747569329,1,115.04,2
수정구,위례동,560612,도시공원,실외,위례신도시 어린이공원 2호,경기도 성남시 수정구 창곡동 589,523.0,2017-06-30,공공,그네(1)+흔들놀이기구(2)+조합놀이대(2)+충격흡수용표면재(포설도포바닥재)(1),2023-05-31,Y,Y,N,2025-07-05,37.46458764,127.1477943,2017,8,3.029344798069172,1,523.0,2
수정구,위례동,561468,주택단지,실외,위례우남역푸르지오 401동앞 놀이터,경기도 성남시 수정구 위례광장로 9-9,442.81,2017-09-03,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-09-13,Y,Y,N,2025-07-05,37.46450561,127.1411226,2017,8,3.4767643074835526,0,442.81,2
수정구,위례동,561469,주택단지,실외,위례우남역푸르지오 502동앞 놀이터,경기도 성남시 수정구 위례광장로 9-9,423.1,2017-09-03,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-09-13,Y,Y,N,2025-07-05,37.46450561,127.1411226,2017,8,3.4767643074835526,0,423.1,2
수정구,위례동,561470,주택단지,실외,위례우남역푸르지오 601동앞 놀이터,경기도 성남시 수정구 위례광장로 9-9,200.0,2017-09-03,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-09-13,Y,Y,N,2025-07-05,37.46450561,127.1411226,2017,8,3.4767643074835526,0,200.0,2
수정구,위례동,561829,주택단지,실외,e편한세상테라스 위례5910동 놀이터(1),경기도 성남시 수정구 위례동이로 24,277.0,2017-10-24,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-11-10,Y,Y,N,2025-07-05,37.46697625,127.1518212,2017,8,2.9840266388303687,0,277.0,2
수정구,위례동,561830,주택단지,실외,e편한세상테라스 위례5915동 놀이터(2),경기도 성남시 수정구 위례동이로 24,413.0,2017-10-24,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-11-10,Y,Y,N,2025-07-05,37.46697625,127.1518212,2017,8,2.9840266388303687,0,413.0,2
수정구,위례동,561831,주택단지,실외,e편한세상테라스 위례5903동 놀이터(3),경기도 성남시 수정구 위례동이로 24,90.6,2017-10-24,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-11-10,Y,Y,N,2025-07-05,37.46697625,127.1518212,2017,8,2.9840266388303687,0,90.6,2
수정구,위례동,561832,주택단지,실외,e편한세상테라스 위례5904동 놀이터(4),경기도 성남시 수정구 위례동이로 24,98.56,2017-10-24,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-11-10,Y,N,N,2025-07-05,37.46697625,127.1518212,2017,8,2.9840266388303687,0,98.56,2
중원구,성남동,563052,도시공원,실외,모란공원 놀이터,경기도 성남시 중원구 성남동 4553,316.5,2017-12-10,공공,그네(1)+흔들놀이기구(5)+조합놀이대(1)+기타(2)+충격흡수용표면재(모래)(1)+충격흡수용표면재(포설도포바닥재)(1),2023-07-24,Y,N,N,2025-07-05,37.4313493,127.1327162,2017,8,1.3098051088167961,1,316.5,2
중원구,성남동,563053,도시공원,실외,모란생태공원 놀이터,경기도 성남시 중원구 성남동 4674,30.0,2017-12-10,공공,미끄럼틀(1)+흔들놀이기구(2)+오르는기구(1)+충격흡수용표면재(포설도포바닥재)(1),2023-07-24,Y,Y,N,2025-07-05,37.4287598,127.1239564,2017,8,0.9909558475710937,1,30.0,2
