구,행정동,사업장명,인허가일자,소재지지번주소,소재지도로명주소
중원구,도촌동,샤인약국,2024-06-18,경기도 성남시 중원구 여수동 189번지 시티오피스타워 ,"경기도 성남시 중원구 양현로 411, 시티오피스타워 101호 (여수동)"
분당구,운중동,옵티마우리들약국,2013-08-26,경기도 성남시 분당구 운중동 941번지 메트로골드 107호 ,"경기도 성남시 분당구 운중로 140, 107호 (운중동, 메트로골드)"
분당구,운중동,이오약국,2020-10-07,경기도 성남시 분당구 운중동 948번지 스타타워 ,"경기도 성남시 분당구 운중로 118, 스타타워 4층 403호 (운중동)"
분당구,운중동,소망약국,2021-09-06,경기도 성남시 분당구 운중동 964번지 스타식스 메트로 108호 ,"경기도 성남시 분당구 운중로 131, 스타식스 메트로 108호 (운중동)"
분당구,운중동,바로약국,2022-04-26,경기도 성남시 분당구 운중동 940번지 판교메디칼타워 106호 ,"경기도 성남시 분당구 운중로 142, 판교메디칼타워 1층 106호 (운중동)"
중원구,은행2동,신신약국,2013-08-29,경기도 성남시 중원구 은행동 1634번지 ,경기도 성남시 중원구 산성대로 496 (은행동)
중원구,은행2동,하나로약국,2013-08-29,"경기도 성남시 중원구 은행동 1553번지 은행시장 1층 다동 2, 3호 ","경기도 성남시 중원구 산성대로 526, 다동 1층 2,3호 (은행동, 은행시장 )"
중원구,은행2동,삼보약국,2016-03-11,경기도 성남시 중원구 은행동 1560번지 ,경기도 성남시 중원구 산성대로 522 (은행동)
중원구,은행1동,조약국,2020-01-08,경기도 성남시 중원구 은행동 1433번지 2호 ,경기도 성남시 중원구 은이로 24 (은행동)
중원구,은행2동,월드옵티마약국,2021-01-06,경기도 성남시 중원구 은행동 628번지 ,"경기도 성남시 중원구 순환로465번길 27, 1층 (은행동)"
중원구,은행2동,태평양약국,2021-01-25,경기도 성남시 중원구 은행동 984번지 ,"경기도 성남시 중원구 산성대로 530, 1층 (은행동)"
분당구,이매2동,솔잎약국,2016-09-28,경기도 성남시 분당구 이매동 120번지 6호 106호 ,"경기도 성남시 분당구 양현로94번길 19, 106호 (이매동, 새남서울조합상가)"
분당구,이매1동,나눔약국,2024-07-09,경기도 성남시 분당구 이매동 131번지 1호 제일프라자 ,"경기도 성남시 분당구 판교로 432, 제일프라자 11호 (이매동)"
분당구,정자동,바른약국,2004-04-13,경기도 성남시 분당구 정자동 111번지 한솔마을 상가 104호 ,"경기도 성남시 분당구 정자로 143, 104호 (정자동,한솔마을 상가)"
분당구,정자동,천지온누리 약국,2005-03-28,경기도 성남시 분당구 정자동 54번지 1호 정자프라자 1층 ,"경기도 성남시 분당구 내정로113번길 4 (정자동, 정자프라자 1층)"
분당구,정자2동,금곡프라자 약국,2006-01-20,경기도 성남시 분당구 정자동 127번지 1호 금곡프라자 102호 ,"경기도 성남시 분당구 내정로 29, 102호 (정자동, 금곡프라자)"
분당구,정자동,조은약국,2013-08-26,경기도 성남시 분당구 정자동 15번지 7호 하나프라자빌딩 106호 ,"경기도 성남시 분당구 느티로 27, 106호 (정자동, 하나프라자빌딩 )"
분당구,정자동,분당수약국,2013-08-28,경기도 성남시 분당구 정자동 155번지 2호 월드비터 108호 ,"경기도 성남시 분당구 정자로 13, 108호 (정자동, 월드비터)"
분당구,정자동,십자약국,2014-02-19,경기도 성남시 분당구 정자동 59번지 7호 ,경기도 성남시 분당구 느티로87번길 13 (정자동)
분당구,정자동,늘푸른약국,2014-09-29,경기도 성남시 분당구 정자동 156번지 3호 ,"경기도 성남시 분당구 성남대로331번길 3-13, 308호 (정자동, 대명제스트빌딩)"
분당구,정자1동,월드약국,2016-06-01,경기도 성남시 분당구 정자동 8번지 3호 ,"경기도 성남시 분당구 정자일로 240 (정자동, 월드프라자)"
분당구,정자동,진영약국,2019-10-22,경기도 성남시 분당구 정자동 128번지 금산프라자 118호 ,"경기도 성남시 분당구 내정로17번길 4-11, 금산프라자 1층 118호 (정자동)"
분당구,정자2동,분당약국,2019-12-02,경기도 성남시 분당구 정자동 219번지 3호 리더스프라자 107호 ,"경기도 성남시 분당구 불곡로 4, 리더스프라자 107호 (정자동)"
분당구,정자1동,스타파크약국,2020-11-18,경기도 성남시 분당구 정자동 174번지 1호 더샵스타파크 ,"경기도 성남시 분당구 정자일로 121, A-15호 (정자동, 더샵스타파크)"
분당구,정자동,꽃피는온누리약국,2020-11-30,경기도 성남시 분당구 정자동 156번지 3호 대명제스트빌딩 ,"경기도 성남시 분당구 성남대로331번길 3-13, 대명제스트빌딩 308일부호 (정자동)"
분당구,정자동,분당그린약국,2020-12-15,경기도 성남시 분당구 정자동 180번지 미켈란쉐르빌 ,"경기도 성남시 분당구 정자일로 100, 상가동 1층 106호 (정자동, 미켈란쉐르빌)"
분당구,정자동,J정약국,2022-01-05,경기도 성남시 분당구 정자동 17번지 1호 젤존타워1 102호 ,"경기도 성남시 분당구 느티로 16, 젤존타워1 102호 (정자동)"
분당구,정자동,가까운대학 약국,2022-08-04,"경기도 성남시 분당구 정자동 215번지 더샵 분당파크리버 201동 B104,104,105,106호 ","경기도 성남시 분당구 돌마로 169, 더샵 분당파크리버 201동 201동 B104,104,105,106호 (정자동)"
분당구,정자동,세기약국,2022-11-21,"경기도 성남시 분당구 정자동 157번지 1호 ,157-14   정자스타빌딩 106호 ","경기도 성남시 분당구 성남대로331번길 7, 정자스타빌딩 106호 (정자동)"
분당구,정자동,정자역약국,2023-07-23,경기도 성남시 분당구 정자동 156번지 1호 젤존타워III 111호 ,"경기도 성남시 분당구 성남대로331번길 3-3, 젤존타워III 1층 111호 (정자동)"
분당구,정자동,열린약국,2023-08-04,경기도 성남시 분당구 정자동 117번지 4호 새소망전인교육센타 301호 ,"경기도 성남시 분당구 정자로 105, 새소망전인교육센타 301호 (정자동)"
