구,행정동,시설번호,시설유형,실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,데이터기준일자,위도,경도
중원구,도촌동,1221,도시공원,실외,이왕이공원 놀이터,경기도 성남시 중원구 도촌동 648,316.5,2009-10-09,공공,흔들놀이기구(3)+조합놀이대(3)+충격흡수용표면재(포설도포바닥재)(1),2023-07-24,Y,Y,N,2025-07-05,37.41224548,127.1626588
분당구,이매2동,1265,주택단지,실외,이매촌동신3단지아파트 309동 앞,경기도 성남시 분당구 양현로94번길 28,328.0,2009-11-23,민간,그네(1)+흔들놀이기구(3)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-11-23,Y,Y,N,2025-07-05,37.38944641,127.1273184
분당구,구미동,1270,주택단지,실외,무지개마을 12단지아파트 1202동 놀이터,경기도 성남시 분당구 미금로22번길 10,328.0,1995-11-03,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-05,Y,Y,N,2025-07-05,37.33592612,127.1198532
분당구,구미동,1271,주택단지,실외,무지개마을 12단지아파트 1207동 놀이터,경기도 성남시 분당구 미금로22번길 10,430.0,1995-11-03,민간,그네(1)+흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-05,Y,Y,N,2025-07-05,37.33592612,127.1198532
분당구,구미동,1272,주택단지,실외,무지개마을 12단지아파트 1208동 놀이터,경기도 성남시 분당구 미금로22번길 10,300.0,1995-11-03,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-05,Y,Y,N,2025-07-05,37.33592612,127.1198532
분당구,삼평동,1341,주택단지,실외,봇들마을8단지 801동 놀이터,경기도 성남시 분당구 동판교로 153,328.0,2009-11-03,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-02-27,Y,N,N,2025-07-05,37.39511328,127.1160421
분당구,삼평동,1342,주택단지,실외,봇들마을8단지 805동 놀이터,경기도 성남시 분당구 동판교로 153,328.0,2009-11-03,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-02-27,Y,Y,N,2025-07-05,37.39511328,127.1160421
분당구,삼평동,1343,주택단지,실외,봇들마을8단지 802동 놀이터,경기도 성남시 분당구 동판교로 153,328.0,2009-11-03,민간,회전놀이기구(1)+흔들놀이기구(3)+건너는기구(1)+충격흡수용표면재(포설도포바닥재)(1),2024-02-27,Y,Y,N,2025-07-05,37.39511328,127.1160421
분당구,백현동,1351,주택단지,실외,백현마을3단지 휴먼시아 놀이터(1),경기도 성남시 분당구 동판교로 92,328.0,2009-11-04,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-04-23,Y,Y,N,2025-07-05,37.38755421,127.1162564
분당구,백현동,1352,주택단지,실외,백현마을3단지 휴먼시아 놀이터(2),경기도 성남시 분당구 동판교로 92,328.0,2009-11-04,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-04-23,Y,Y,N,2025-07-05,37.38755421,127.1162564
분당구,백현동,1353,주택단지,실외,백현마을3단지 휴먼시아 놀이터(3),경기도 성남시 분당구 동판교로 92,328.0,2009-11-04,민간,흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2024-04-23,Y,Y,N,2025-07-05,37.38755421,127.1162564
분당구,백현동,1354,주택단지,실외,백현마을3단지 휴먼시아 유아놀이터,경기도 성남시 분당구 동판교로 92,328.0,2009-11-04,민간,오르는기구(1)+충격흡수용표면재(포설도포바닥재)(1),2024-04-23,Y,Y,N,2025-07-05,37.38755421,127.1162564
수정구,단대동,1355,주택단지,실외,단대 진로아파트 (106동 옆),경기도 성남시 수정구 단대로23번길 32,239.0,2009-11-06,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-10-04,Y,Y,N,2025-07-05,37.45116895,127.1562821
분당구,야탑2동,1356,주택단지,실외,목련마을 두원빌리지 놀이터,경기도 성남시 분당구 야탑로231번길 35,328.0,2009-11-06,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(모래)(1),2022-12-13,Y,Y,N,2025-07-05,37.4091122,127.1474669
분당구,야탑2동,1382,도시공원,실외,시청공원 놀이터,경기도 성남시 분당구 야탑동 성남여수근린공원내,316.5,2009-11-16,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-17,Y,Y,N,2025-07-05,37.4062703,127.144621
